target_id	length	eff_length	est_counts	tpm
comp24979_c0_seq1	363	193.065	109	8.54149
comp24583_c0_seq1	204	64.4076	857	201.305
comp24160_c0_seq1	228	80.5822	9	1.68972
comp24575_c0_seq1	232	83.475	20	3.62481
comp24060_c0_seq1	408	235.052	50	3.21823
comp24284_c0_seq1	399	226.596	37	2.47036
comp24222_c0_seq1	312	147.71	271	27.757
comp25673_c0_seq1	441	266.567	21	1.19186
comp24813_c0_seq1	301	138.127	1	0.10953
comp25965_c0_seq1	709	530.685	0	0
comp25827_c0_seq1	404	231.3	11	0.719497
comp24584_c0_seq1	215	71.5708	60	12.6831
comp25132_c0_seq1	234	84.9394	185	32.9514
comp24525_c0_seq1	323	157.151	125	12.0339
comp25058_c0_seq1	461	285.784	42	2.22343
comp25793_c0_seq1	542	365.022	13	0.538811
comp24542_c0_seq1	403	230.35	17	1.11653
comp24423_c0_seq1	268	110.854	7	0.95534
comp24956_c0_seq1	339	171.257	0	0
comp25510_c0_seq1	213	70.2971	14	3.01302
comp24112_c0_seq1	274	115.738	5	0.653589
comp24159_c0_seq1	246	93.8331	8	1.28987
comp24720_c0_seq1	243	91.562	89	14.7057
comp24128_c0_seq1	394	221.857	39	2.65952
comp24348_c0_seq1	295	133.073	4	0.454758
comp25027_c0_seq1	209	67.6747	7	1.56489
comp24040_c0_seq1	256	101.46	38	5.66634
comp24722_c0_seq1	563	385.706	18	0.706037
comp24342_c0_seq1	378	206.963	1	0.0731002
comp25197_c0_seq1	272	114.133	213	28.2346
comp24726_c0_seq1	410	236.957	52	3.32006
comp25281_c0_seq1	411	237.901	42	2.67094
comp24958_c0_seq1	413	239.832	10	0.630818
comp25309_c0_seq1	466	290.639	352	18.3232
comp25405_c0_seq1	275	116.568	29	3.76382
comp24282_c0_seq1	441	266.567	9	0.510796
comp24270_c0_seq1	279	119.821	0	0
comp25906_c0_seq1	256	101.46	12	1.78937
comp25127_c0_seq1	609	431.182	4	0.140349
comp24730_c0_seq1	375	204.183	3	0.222287
comp25676_c0_seq1	301	138.127	46	5.03837
comp25581_c0_seq1	229	81.2928	0	0
comp25198_c0_seq1	826	647.442	12	0.280409
comp24609_c0_seq1	271	113.338	32	4.27155
comp24450_c0_seq1	225	78.4775	31	5.97624
comp25756_c0_seq1	346	177.558	177	15.0815
comp25700_c0_seq1	421	247.482	1	0.0611319
comp24748_c0_seq1	308	144.167	16	1.67905
comp24535_c0_seq1	385	213.49	26	1.8425
comp24984_c0_seq1	560	382.734	1255	49.6088
comp24760_c0_seq1	258	102.967	48	7.05268
comp24254_c0_seq1	749	570.56	68	1.8031
comp25106_c0_seq1	379	207.905	0	0
comp25987_c0_seq1	370	199.491	32	2.42682
comp25801_c0_seq1	602	424.225	94	3.3523
comp25364_c0_seq1	240	89.3671	3	0.507873
comp24928_c0_seq1	353	183.915	0	0
comp25451_c0_seq1	1256	1077.22	169	2.37352
comp25813_c0_seq1	313	148.579	16	1.6292
comp24856_c0_seq1	409	235.994	10	0.641077
comp24608_c0_seq1	493	316.965	4	0.190924
comp25598_c0_seq1	401	228.493	0	0
comp25294_c0_seq1	219	74.3611	74	15.0556
comp24303_c0_seq1	283	123.121	20	2.45759
comp24338_c0_seq1	497	320.855	32	1.50887
comp25202_c0_seq1	254	99.9302	5	0.756981
comp25477_c0_seq1	451	276.168	69	3.77996
comp24437_c0_seq1	323	157.151	325	31.288
comp24347_c0_seq1	332	164.992	72	6.60207
comp25019_c0_seq1	246	93.8331	18	2.9022
comp24030_c0_seq1	271	113.338	0	0
comp24041_c0_seq1	488	312.105	131	6.35012
comp25392_c0_seq1	232	83.475	0	0
comp24731_c0_seq1	328	161.511	0	0
