target_id,colors
XM_015811295.1,darkred
XM_015811296.1,blue
XM_015811297.1,black
XM_015811298.1,turquoise
XM_015811305.1,cyan
XM_015811306.1,greenyellow
XM_015811307.1,red
XM_015811308.1,purple
XM_015811309.1,lightgreen
XM_015811311.1,purple
XM_015811312.1,darkred
XM_015811313.1,turquoise
XM_015811314.1,turquoise
XM_015811315.1,turquoise
XM_015811316.1,royalblue
XM_015811317.1,greenyellow
XM_015811318.1,turquoise
XM_015811321.1,turquoise
XM_015811322.1,red
XM_015811323.1,cyan
XM_015811324.1,cyan
XM_015811325.1,blue
XM_015811326.1,blue
XM_015811327.1,black
XM_015811328.1,lightgreen
XM_015811329.2,red
XM_015811330.1,turquoise
XM_015811331.1,turquoise
XM_015811333.1,purple
XM_015811334.1,blue
XM_015811335.1,blue
XM_015811336.1,red
XM_015811339.1,green
XM_015811341.1,darkred
XM_015811342.1,green
XM_015811343.1,blue
XM_015811345.1,blue
XM_015811346.1,turquoise
XM_015811347.2,lightgreen
XM_015811348.1,blue
XM_015811350.1,cyan
XM_015811351.1,blue
XM_015811352.1,turquoise
XM_015811353.1,turquoise
XM_015811355.1,blue
XM_015811358.1,turquoise
XM_015811362.1,lightgreen
XM_015811364.1,turquoise
XM_015811365.1,green
XM_015811366.1,green
XM_015811367.1,lightgreen
XM_015811369.2,blue
XM_015811372.1,green
XM_015811373.1,green
XM_015811374.1,turquoise
XM_015811375.1,green
XM_015811376.1,purple
XM_015811377.1,green
XM_015811378.1,red
XM_015811380.1,turquoise
XM_015811381.1,blue
XM_015811382.1,turquoise
XM_015811383.1,darkred
XM_015811384.1,blue
XM_015811385.1,turquoise
XM_015811386.1,blue
XM_015811387.1,blue
XM_015811388.1,red
XM_015811396.1,greenyellow
XM_015811401.1,blue
XM_015811402.1,turquoise
XM_015811405.2,lightyellow
XM_015811406.1,lightcyan
XM_015811409.1,turquoise
XM_015811412.1,purple
XM_015811414.1,purple
XM_015811415.2,greenyellow
XM_015811416.1,greenyellow
XM_015811417.1,greenyellow
XM_015811419.1,greenyellow
XM_015811421.1,greenyellow
XM_015811423.1,green
XM_015811425.1,black
XM_015811427.1,blue
XM_015811428.1,darkgreen
XM_015811429.1,lightgreen
XM_015811431.1,purple
XM_015811432.1,lightgreen
XM_015811433.1,purple
XM_015811434.1,blue
XM_015811435.1,grey60
XM_015811436.1,blue
XM_015811437.1,blue
XM_015811438.1,greenyellow
XM_015811439.1,lightgreen
XM_015811440.1,darkred
XM_015811441.1,blue
XM_015811442.1,turquoise
XM_015811443.2,greenyellow
XM_015811444.1,turquoise
XM_015811449.1,red
XM_015811450.1,greenyellow
XM_015811451.1,greenyellow
XM_015811452.2,lightgreen
XM_015811453.1,lightgreen
XM_015811454.1,purple
XM_015811455.1,purple
XM_015811457.1,blue
XM_015811459.1,turquoise
XM_015811461.1,purple
XM_015811462.1,greenyellow
XM_015811466.1,purple
XM_015811467.1,turquoise
XM_015811470.1,green
XM_015811471.1,turquoise
XM_015811473.2,red
XM_015811475.2,greenyellow
XM_015811476.2,salmon
XM_015811477.1,greenyellow
XM_015811478.1,blue
XM_015811481.1,blue
XM_015811483.1,darkred
XM_015811484.1,cyan
XM_015811485.1,green
XM_015811486.2,turquoise
XM_015811487.1,salmon
XM_015811488.1,cyan
XM_015811489.1,blue
XM_015811490.1,cyan
XM_015811491.1,darkgrey
XM_015811492.1,salmon
XM_015811493.1,salmon
XM_015811494.1,darkturquoise
XM_015811495.1,red
XM_015811496.2,darkturquoise
XM_015811497.2,salmon
XM_015811498.1,salmon
XM_015811500.1,lightcyan
XM_015811503.1,lightgreen
XM_015811504.2,cyan
XM_015811506.1,blue
XM_015811509.1,cyan
XM_015811510.2,red
XM_015811511.1,blue
XM_015811512.1,blue
XM_015811513.1,turquoise
XM_015811514.1,blue
XM_015811515.1,blue
XM_015811517.1,turquoise
XM_015811521.1,cyan
