target_id,Pm_1_f,Pm_2_f,Pm_3_m,Pm_4_f
XM_015810408.1,2,0,1700,0
XM_015810409.1,184.883,0,4,0
XM_015810410.1,0,0,0,0
XM_015810411.2,0,0,0,0
XM_015810412.1,0,0,0,0
XM_015810414.1,0,0,0,0
XM_015810415.1,1,1,996,0
XM_015810417.2,0,0,0,0
XM_015810418.1,1,1,1,1
XM_015810420.1,5,6,524,11788
XM_015810421.1,0,0,0,0
XM_015810422.1,5,7,6610,238
XM_015810423.1,0,0,0,0
XM_015810424.2,4,2,3890,8
XM_015810426.1,4,1,1470,4
XM_015810427.2,42,0,104,3
XM_015810428.1,2,2,5858,953
XM_015810429.1,0,0,0,0
XM_015810430.1,2,6,658,4
XM_015810431.1,0,0,0,0
XM_015810432.1,0,0,0,3
XM_015810433.1,5,1,7,0
XM_015810434.1,2,1,1094.02,2.03755
XM_015810435.1,0,0,7,0
XM_015810436.2,0,0,1396.98,1.96245
XM_015810437.1,2,0,1,0
XM_015810438.2,4,3.31214,9649.03,2.91492
XM_015810439.1,18,7,6998,15194
XM_015810440.1,3,4,9079,9
XM_015810441.1,0,0,0,0
XM_015810442.1,0,0,0,0
XM_015810443.1,1,0,0,0
XM_015810444.1,1,1,1,1
XM_015810445.1,3,1,5723,6776
XM_015810446.1,2,1,4630,1
XM_015810448.1,0,1,4,1.37657
XM_015810449.1,2,2,1739,7
XM_015810450.1,0,0,4937,1721
XM_015810452.1,0,0,0,0
XM_015810454.1,0,1,0,0
XM_015810455.1,4,2,1175,5922
XM_015810456.1,0,0,22,1
XM_015810457.1,0,0,0,0
XM_015810458.1,0,0,1738,2
XM_015810459.1,0,1,6253,2
XM_015810460.1,0,0,0,1
XM_015810461.1,1.73934,2.72291,8782.41,13
XM_015810462.1,4.26066,4.27709,270.591,0
XM_015810463.1,0,1,14,1.00001
XM_015810464.1,0,1,11,1
XM_015810465.1,1,0,0,0
XM_015810466.1,0,0,2,0
XM_015810467.1,0,0,0,0
XM_015810468.1,0,0,0,0
XM_015810469.1,0,0,0,0
XM_015810470.1,0,0,0,0
XM_015810471.1,0,0,0,0
XM_015810472.1,2,0,0,0
XM_015810474.2,0,0,0,0
XM_015810475.1,0,0,0,0
XM_015810476.1,0,0,0,0
XM_015810477.1,0,0,0,0
XM_015810478.1,0,0,0,0
XM_015810479.1,0,0,0,0
XM_015810480.1,0,0,0,0
XM_015810481.1,0,0,0,0
XM_015810482.1,2,0,1060,0
XM_015810483.1,0,0,0,0
XM_015810484.1,0,0,0,0
XM_015810485.1,0,0,0,0
XM_015810486.2,0,0,0,0
XM_015810487.1,0,0,1190,0
XM_015810488.1,0,0,0,0
XM_015810490.1,0,0,0,0
XM_015810491.1,0,0,0,0
XM_015810492.1,0,0,0,0
XM_015810494.2,0,0,0,0
XM_015810496.1,0,0,0,0
XM_015810497.1,8,10,10282,16
XM_015810498.1,0,0,0,0
XM_015810500.1,0,0,0,0
XM_015810503.1,0,0,0,0
XM_015810504.1,0,0,0,0
XM_015810505.1,1,0,1708,1476.05
XM_015810506.1,0,0,0,0
XM_015810507.1,0,0,0,0
XM_015810508.1,0,0,0,8
XM_015810509.1,0,0,0,0
XM_015810510.1,0,0,0,0
XM_015810511.2,0,0,977,0
XM_015810512.1,0,0,352,1
XM_015810513.1,0,0,7,0
XM_015810514.1,0,0.435279,0,0.202488
XM_015810515.1,0,1.56472,3357.67,2.79751
XM_015810516.1,1034,14,12820,5649
XM_015810517.1,0,0,115.515,0
XM_015810518.1,0,0,1.81818,0
XM_015810519.2,9,7.18544,1585.56,15555
XM_015810520.1,4,9,3642,17954.9
XM_015810521.1,6,2.29425,3013.21,272.385
XM_015810522.1,2,3,10274,8
XM_015810526.1,0,0,1,0
XM_015810527.1,0.5,0,1,0
XM_015810528.1,0,0,0,0
XM_015810529.1,1,0,0,5
XM_015810530.1,1,2,2304.94,16.2128
XM_015810531.1,4,1,4136.01,4
XM_015810532.1,0,1,0,0
XM_015810533.1,0,0,0,0
XM_015810534.1,1,0,1,0
XM_015810535.1,2,2,2435,1335
XM_015810536.1,1,0,1,0
XM_015810537.1,1,3,1193,8
XM_015810538.1,2,4,2643,3
XM_015810539.1,1,0,1,232
XM_015810540.2,0,1,1,1
XM_015810541.1,0,0,0,119.225
XM_015810542.1,0,1,2917,2
XM_015810543.1,0,1,1956,2
XM_015810545.1,0,0,0,0
XM_015810546.1,0,0,2,0
XM_015810548.2,1,0,0,0
XM_015810549.1,0,0,2,0
XM_015810550.1,0,0,0,0
XM_015810551.1,0,0,0,0
XM_015810553.1,13,9,1677.89,11937
XM_015810554.1,0,0,0,0
XM_015810555.1,0,0,0,0
XM_015810556.1,2,2,2,6299
XM_015810558.1,0,0,0,1
XM_015810559.1,1,0,0,0
XM_015810560.2,1,2,1,0
XM_015810561.1,0,0,0,0
XM_015810562.1,0,0,0,0
XM_015810563.1,1,0,587,0
XM_015810564.1,0,0,0,0
XM_015810565.1,0,0,0,0
XM_015810567.1,0,0,0,0
XM_015810568.1,0,0,0,0
XM_015810570.1,0,0,0,0
XM_015810571.1,1,0,3,1
XM_015810572.1,0,0,1,1
XM_015810573.1,0,0,1386,4
XM_015810574.1,0,0,0,0
XM_015810575.1,1,1,0,1
XM_015810576.1,1,1,0,1
XM_015810577.2,0,1,0,1
XM_015810578.1,9,0,84,0
XM_015810579.1,2,1,2,1
XM_015810580.1,0,0,10,0
XM_015810581.1,6,1,6360,3601
XM_015810583.1,5,4,10207,6294
