"","target_id","logFC","unshrunk.logFC","logCPM","PValue"
"3567","XM_015826093.2",-2.3628573555351,-2.36363444017759,6.43158477910748,3.77366999871174e-05
"3568","XM_015822676.2",-2.36081902389854,-2.36097621874567,8.51457439617473,0.000387250876129027
"3569","XM_015810744.1",-2.35714137647692,-2.36988147527263,2.44839790270956,0.00434696084456756
"3570","XM_015814279.1",-2.3563767410702,-2.37349980134697,2.30659174131317,0.00121558705852063
"3571","XM_029284176.1",-2.35405509330784,-2.35465818415917,6.44231819028758,0.00202522069787754
"3572","XM_015823960.1",-2.353982752428,-2.3546442178686,6.34845605362684,4.61031230852131e-05
"3573","XM_015819937.1",-2.35277377302749,-2.36143894913908,2.60214472500596,0.00632887388685393
"3574","XM_015816367.1",-2.34032949346286,-2.34149869809412,5.36710357016788,0.00130913947328795
"3575","XM_015831763.1",-2.34009487042599,-2.34057641426469,6.86492991659623,0.000113150817351415
"3576","XM_015819570.1",-2.33390839634645,-2.34174181672422,2.67962319163929,0.00355790807826542
"3577","XM_029284182.1",-2.33326042430035,-2.33370686906053,6.91465853022781,0.00588264139611218
